FileName,Station,Session,Date,Time,DateReadable,filename_new,Species,Number_animals,Favorite (y/n),Notes
MFDC2778.JPG,29_ZAL,Session_1,2/8/2021,8:37:42,TRUE,Session_1__2021-02-08__08-37-42(1).JPG,Odocoileus_virginianus,1,n,
MFDC2779.JPG,29_ZAL,Session_1,2/8/2021,8:37:46,TRUE,Session_1__2021-02-08__08-37-46(2).JPG,Odocoileus_virginianus,1,n,
MFDC2780.JPG,29_ZAL,Session_1,2/9/2021,18:04:19,TRUE,Session_1__2021-02-09__18-04-19(1).JPG,Odocoileus_virginianus,2,n,
MFDC2781.JPG,29_ZAL,Session_1,2/9/2021,18:04:23,TRUE,Session_1__2021-02-09__18-04-23(2).JPG,Odocoileus_virginianus,3,n,
MFDC2782.JPG,29_ZAL,Session_1,2/9/2021,18:04:23,TRUE,Session_1__2021-02-09__18-04-23(3).JPG,Odocoileus_virginianus,3,n,
MFDC2783.JPG,29_ZAL,Session_1,2/9/2021,18:38:54,TRUE,Session_1__2021-02-09__18-38-54(1).JPG,NA,0,n,
MFDC2784.JPG,29_ZAL,Session_1,2/13/2021,7:21:14,TRUE,Session_1__2021-02-13__07-21-14(1).JPG,NA,0,n,
MFDC2785.JPG,29_ZAL,Session_1,2/13/2021,11:42:32,TRUE,Session_1__2021-02-13__11-42-32(1).JPG,Homo_sapiens,1,n,
MFDC2786.JPG,29_ZAL,Session_1,2/13/2021,11:42:35,TRUE,Session_1__2021-02-13__11-42-35(2).JPG,Homo_sapiens,1,n,
MFDC2787.JPG,29_ZAL,Session_1,2/13/2021,11:42:38,TRUE,Session_1__2021-02-13__11-42-38(3).JPG,Homo_sapiens,1,n,
MFDC5564.JPG,29_ZAL,Session_10,11/20/2021,12:55:36,TRUE,Session_10__2021-11-20__12-55-36(1).JPG,Homo_sapiens,1,n,
MFDC5565.JPG,29_ZAL,Session_10,11/20/2021,12:55:36,TRUE,Session_10__2021-11-20__12-55-36(2).JPG,Homo_sapiens,1,n,
MFDC5563.JPG,29_ZAL,Session_10,11/20/2021,12:55:37,TRUE,Session_10__2021-11-20__12-55-37(3).JPG,Homo_sapiens,1,n,
