camID,OpenWater1500,DevOpenSpace1500,DevLowInt1500,DevMedInt1500,DevHighInt1500,Barren1500,DecForest1500,ConForest1500,mixedForest1500,Shrub1500,GrassHerb1500,Pasture1500,Crops1500,WoodyWetland1500,EmergWetland1500,OpenWater1000,DevOpenSpace1000,DevLowInt1000,DevMedInt1000,DevHighInt1000,Barren1000,DecForest1000,ConForest1000,mixedForest1000,Shrub1000,GrassHerb1000,Pasture1000,Crops1000,WoodyWetland1000,EmergWetland1000,OpenWater500,DevOpenSpace500,DevLowInt500,DevMedInt500,DevHighInt500,Barren500,DecForest500,ConForest500,mixedForest500,Shrub500,GrassHerb500,Pasture500,Crops500,WoodyWetland500,EmergWetland500,SHDI_500,SHDI_1000,SHDI_1500,AllRds1500,AllRds1000,AllRds500,MainRds1500,MainRds1000,MainRds500,distmainrds,DistanceStreams
AEPC19,0,366,4,0,0,0,7122,0,0,30,296,29,0,0,0,0,180,3,0,0,0,3209,0,0,27,70,0,0,0,0,0,39,0,0,0,0,796,0,0,23,15,0,0,0,0,0.7142874,0.373702496,0.353394568,26012.85067,12025.62515,3434.271459,7965.90976,3370.475042,0,2297.754883,400
AEPC20,79,341,12,2,0,0,6569,9,0,45,135,636,0,3,12,12,92,7,0,0,0,3021,0,0,29,24,296,0,0,6,0,37,0,0,0,0,673,0,0,6,0,155,0,0,0,0.828701198,0.660283566,0.612654328,13643.13413,8768.785607,3516.391008,0,0,0,5754.286133,200
AEPC21,117,353,15,1,0,0,6808,146,0,35,46,327,0,0,0,10,144,2,0,0,0,2944,36,0,14,22,316,0,0,0,0,51,0,0,0,0,696,4,0,0,22,100,0,0,0,0.974025607,0.680345714,0.645604908,17987.09004,10044.39551,3609.481929,0,0,0,7227.371094,707.1068115
ZC22,0,442,1,0,0,0,5754,412,0,36,23,541,632,0,0,0,219,0,0,0,0,2670,180,0,13,0,145,263,0,0,0,95,0,0,0,0,779,0,0,0,0,0,0,0,0,0.465999246,0.323263288,0.73430723,34021.2968,17117.96196,9047.982353,3331.529256,0,0,4227.694824,538.5164795
ZC23,0,261,0,0,0,0,7543,0,0,5,38,0,0,0,0,0,39,0,0,0,0,3444,0,0,5,0,0,0,0,0,0,0,0,0,0,0,873,0,0,0,0,0,0,0,0,0,0.029298797,0.068134092,19884.87067,4398.763746,0,6783.874826,0,0,3833.52417,583.0952148
ZC24,59,455,7,0,0,0,7178,123,0,5,14,0,0,5,0,7,295,7,0,0,0,3090,84,0,0,0,0,0,5,0,0,109,0,0,0,0,751,14,0,0,0,0,0,0,0,0.277754068,0.432779998,0.489614129,32833.5886,21321.73702,7953.06775,10509.46569,7157.554505,3188.553039,928.5396118,1000
ZC25,0,471,11,0,0,0,7086,90,0,0,0,188,0,0,0,0,236,7,0,0,0,3140,24,0,0,0,83,0,0,0,0,53,0,0,0,0,812,8,0,0,0,0,0,0,0,0.367166698,0.291205794,0.381049752,34203.05734,17196.62467,3067.510861,0,0,0,6250.568848,1200
ZC26,0,558,8,0,0,0,6597,287,0,5,0,382,0,0,0,0,160,4,0,0,0,3057,264,0,0,0,8,0,0,0,0,34,0,0,0,0,776,64,0,0,0,0,0,0,0,0.452625096,0.461686134,0.487493545,38607.91597,15965.82199,3645.807366,9478.72061,0,0,3609.662354,500
ZC27,38,246,0,0,0,22,7345,84,0,57,19,20,0,11,7,36,133,0,0,0,22,3205,6,0,22,19,18,0,11,7,27,62,0,0,0,0,752,0,0,0,14,0,0,11,7,0.674473941,0.590549052,0.44041568,22412.77802,12830.31215,5801.268853,0,0,0,5652.37207,360.5551147
ZC28,7,373,1,0,0,0,6419,332,0,48,0,631,38,0,0,0,153,0,0,0,0,3057,165,0,27,0,84,0,0,0,0,32,0,0,0,0,802,37,0,0,0,0,0,0,0,0.375086188,0.343900651,0.462536991,33912.38749,15075.0261,3161.92465,0,0,0,6016.819336,806.225769
ZC29,0,195,0,0,0,0,7608,0,0,10,30,0,0,0,0,0,65,0,0,0,0,3425,0,0,1,0,0,0,0,0,0,19,0,0,0,0,852,0,0,0,0,0,0,0,0,0.16173631,0.087930419,0.062891923,7023.148922,1741.212603,0,7023.148922,1741.212603,0,2967.477051,447.2135925
ZC30,0,461,1,0,0,0,6371,40,0,4,0,286,680,1,0,0,111,0,0,0,0,3054,0,0,0,0,9,314,0,0,0,61,0,0,0,0,811,0,0,0,0,0,0,0,0,0.25157544,0.236116678,0.406544894,24992.74112,9833.540979,6227.818272,6551.061083,0,0,3849.915039,538.5164795
ZC31,0,393,1,0,0,0,7426,15,0,0,14,0,0,0,0,0,103,1,0,0,0,3361,9,0,0,14,0,0,0,0,0,35,0,0,0,0,823,0,0,0,14,0,0,0,0,0.223718077,0.213527501,0.14311415,30770.2236,10822.28501,3523.767937,7835.426539,0,0,3641.725098,412.3105774
ZC32,0,429,11,0,0,0,6600,117,0,170,14,125,372,0,0,0,270,4,0,0,0,2787,98,0,103,0,0,226,0,0,0,121,1,0,0,0,596,89,0,62,0,0,0,0,0,0.971777976,0.961488247,0.744076669,14688.52061,9333.775624,2606.943354,10655.61052,7020.617891,2606.943354,1320.509888,223.6067963
ZC33,227,812,163,32,1,0,6009,275,0,96,0,84,61,43,47,152,214,9,0,0,0,2946,45,0,23,0,4,58,0,35,0,27,0,0,0,0,842,5,0,0,0,0,0,0,0,0,0.224326268,0.54437232,49125.26875,17136.9327,1985.351044,11019.94834,1042.068228,0,3248.024902,728.0109863
ZC34,0,372,2,0,0,0,6809,454,0,115,77,1,14,0,0,0,152,0,0,0,0,2979,243,0,40,75,0,0,0,0,0,35,0,0,0,0,735,70,0,0,32,0,0,0,0,0.619614482,0.612788677,0.573396564,38679.29609,15639.1846,3554.065669,0,0,0,8356.276367,848.5281372
ZC35,44,407,9,2,0,0,7136,145,0,58,20,32,0,0,0,22,196,1,0,0,0,3190,27,0,21,9,16,0,0,0,0,32,0,0,0,0,828,0,0,5,0,8,0,0,0,0.13868928,0.308817238,0.361505896,33450.68221,18208.45898,3646.951335,3174.024092,0,0,4204.717773,721.1102295
ZC36,0,327,3,0,0,0,6652,554,0,123,6,34,150,0,0,0,140,1,0,0,0,3087,195,0,7,6,19,28,0,0,0,49,0,0,0,0,746,81,0,0,0,0,0,0,0,0.63999176,0.463581711,0.460403204,30955.36941,13439.90242,4907.022985,0,0,0,5216.524902,141.4213562
